creeb_applicable,creeb_audience,creeb_azsknownissueid,creeb_cause,creeb_contact,creeb_datefiled,creeb_datereviewed,creeb_feature,creeb_id,importsequencenumber,creeb_status,creeb_occurance,creeb_remediation,statuscode,statecode,timezoneruleversionnumber,creeb_title,creeb_trackingnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit
This issue applies to release 2002.,Operator,a7bc45b7-ebb0-ea11-a812-000d3a5465d8,"If the stamp contains App Service resource provider (RP) version 1.7 and older, upon update of the stamp, the blades for App Service do not load.",avishwan@microsoft.com,,,App Services,azs-1068,,active,NA,Update the RP to version 2020 Q2 .,Active,Active,,App Service,,,1893386,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to release 2002.,Operator,a6bc45b7-ebb0-ea11-a812-000d3a5465d8,"If the stamp contains SQL resource provider (RP) version 1.1.33.0 or earlier, upon update of the stamp, the blades for SQL/MySQL will not load.",avishwan@microsoft.com,,,SQL and MySQL,azs-1067,,active,NA,Update the RP to version 1.1.47.0,Active,Active,,SQL/MySQL,,,1893385,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to the 1908 release.,Operator,a5bc45b7-ebb0-ea11-a812-000d3a5465d8,"When a cable is disconnected from a network adapter, an alert does not show in the administrator portal. This issue is caused because this fault is disabled by default in Windows Server 2019. ",kivenkat@microsoft.com,,,Virtual Machines,azs-1066,,active,Common,NA,Active,Active,,Alert for network interface disconnected,,,1893384,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,a4bc45b7-ebb0-ea11-a812-000d3a5465d8,"In the user portal, when you try to upload a blob using the OAuth(preview) option, the task fails with an error message.",kivenkat@microsoft.com,,,Virtual Machines,azs-1065,,active,Common,Upload the blob using the SAS option.,Active,Active,,Upload blob,,,1893383,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,a3bc45b7-ebb0-ea11-a812-000d3a5465d8,"In the administrator portal, the Lock blade for user subscriptions has two buttons labeled subscription . ",kivenkat@microsoft.com,,,Virtual Machines,azs-1064,,active,Common,NA,Active,Active,,Duplicate Subscription button in Lock blade,,,1893382,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,a2bc45b7-ebb0-ea11-a812-000d3a5465d8,"In the administrator portal, the Properties blade for subscriptions does not load correctly",kivenkat@microsoft.com,,,Virtual Machines,azs-1063,,active,Common,You can view these subscription properties in the Essentials pane of the Subscriptions Overview blade.,Active,Active,,Subscriptions Properties blade,,,1893381,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to stamps that are running 1907 or later.,Operator,9fbc45b7-ebb0-ea11-a812-000d3a5465d8,"When accessing the activity log, the portal only shows the first page of entries. Load more results will not load addition entries.",kivenkat@microsoft.com,,,Virtual Machines,azs-1062,,active,NA,Adjust the time range in the filter to review entries that fall after the first page,Active,Active,,Activity log blade,,,1893380,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to stamps that are running 1908 or earlier.,Operator,9ebc45b7-ebb0-ea11-a812-000d3a5465d8,"When deploying the SQL resource provider (RP) version 1.1.47.0, the portal shows no assets other than those associated with the SQL RP.",kivenkat@microsoft.com,,,Virtual Machines,azs-1061,,active,NA,"Delete the RP, upgrade the stamp, and re-deploy the SQL RP",Active,Active,,SQL resource provider,,,1893379,9983ac35-72a8-ea11-a812-000d3a579c66
"This issue applies to the Azure Stack Hub 1910 update or later, with SQL resource provider version 1.1.33.0 or earlier installed.",Operator,9cbc45b7-ebb0-ea11-a812-000d3a5465d8,The current version of the SQL resource provider is not compatible with some of the latest portal changes in the 1910 update.,kivenkat@microsoft.com,,,Virtual Machines,azs-1060,,active,Common,"Follow the resource provider update process to apply the SQL resource provider hotfix 1.1.47.0 after Azure Stack Hub is upgraded to the 1910 update ( SQL RP version 1.1.47.0 ). For the MySQL resource provider, it is also recommended that you apply the MySQL resource provider hotfix 1.1.47.0 after Azure Stack Hub is upgraded to 1910 update ( MySQL RP version 1.1.47.0 ).",Active,Active,,Capacity monitoring in SQL resource provider keeps loading,,,1893378,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,9abc45b7-ebb0-ea11-a812-000d3a5465d8,"In the user portal, when you create a storage account and view its Configuration , you cannot save configuration changes, as it results in an AJAX error. ",kivenkat@microsoft.com,,,Virtual Machines,azs-1059,,active,Common,NA,Active,Active,,Storage account configuration,,,1893377,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,99bc45b7-ebb0-ea11-a812-000d3a5465d8,"In the user portal, when you navigate to Virtual Machines and try to refresh using the button at the top, the states fail to update accurately.",kivenkat@microsoft.com,,,Virtual Machines,azs-1058,,active,Common,The status is automatically updated every 5 minutes regardless of whether the refresh button has been clicked or not. Wait 5 minutes and check the status.,Active,Active,,Refresh button on virtual machines fails,,,1893375,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,98bc45b7-ebb0-ea11-a812-000d3a5465d8,"In the user portal, when a user attempts to delete a storage container, the operation fails when the user does not toggle Override Azure Policy and RBAC Role settings .",kivenkat@microsoft.com,,,Virtual Machines,azs-1057,,active,Common,Ensure that the box is checked for Override Azure Policy and RBAC Role settings .,Active,Active,,Delete a storage container,,,1893374,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,97bc45b7-ebb0-ea11-a812-000d3a5465d8,"In the user portal, when you select a managed disk, with disk type Premium SSD, the drop-down list shows OS Disk . The tooltip next to that option says Certain OS Disk sizes may be available for free with Azure Free Account ; however, this is not valid for Azure Stack Hub. In addition, the list includes Free account eligible which is also not valid for Azure Stack Hub. ",kivenkat@microsoft.com,,,Virtual Machines,azs-1056,,active,Common,NA,Active,Active,,Incorrect tooltip when creating VM,,,1893373,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,95bc45b7-ebb0-ea11-a812-000d3a5465d8,"In the user portal, when you try to upload a blob in the upload blade, there is an option to select AAD or Key Authentication , however AAD is not supported in Azure Stack Hub. ",kivenkat@microsoft.com,,,Virtual Machines,azs-1055,,active,Common,NA,Active,Active,,Upload blob option unsupported,,,1893372,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,93bc45b7-ebb0-ea11-a812-000d3a5465d8,"In the user portal, when you try to upload a blob using the OAuth(preview) option, the task fails with an error message.",kivenkat@microsoft.com,,,Virtual Machines,azs-1054,,active,Common,Upload the blob using the SAS option.,Active,Active,,Upload blob with OAuth error,,,1893371,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,92bc45b7-ebb0-ea11-a812-000d3a5465d8,"In the user portal, the storage account Configuration blade shows an option to change security transfer type . The feature is currently not supported in Azure Stack Hub. ",kivenkat@microsoft.com,,,Virtual Machines,azs-1053,,active,Common,NA,Active,Active,,Storage account settings,,,1893370,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,8fbc45b7-ebb0-ea11-a812-000d3a5465d8,"In the administrator portal, the Lock blade for user subscriptions has two buttons that say Subscription . ",kivenkat@microsoft.com,,,Virtual Machines,azs-1052,,active,Common,NA,Active,Active,,Duplicate Subscription button in Lock blade,,,1893369,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,8ebc45b7-ebb0-ea11-a812-000d3a5465d8,"The IAM extension is out of date. The Ibiza portal that shipped with Azure Stack Hub introduces a new behavior that causes the RBAC extension to fail if the user is opening the Access Control (IAM) blade for a subscription that is not selected in the global subscription selector ( Directory + Subscription in the user portal). The blade displays Loading in a loop, and the user cannot add new roles to the subscription. The Add blade also displays Loading in a loop.",kivenkat@microsoft.com,,,Virtual Machines,azs-1051,,active,NA,"Ensure that the subscription is checked in the Directory + Subscription menu. The menu can be accessed from the top of the portal, near the Notifications button, or via the shortcut on the All resources blade that displays Don&#39;t see a subscription? Open Directory + Subscription settings . The subscription must be selected in this menu",Active,Active,,Access Control (IAM),,,1893368,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to 1908 and above.,Operator,8dbc45b7-ebb0-ea11-a812-000d3a5465d8,"When a cable is disconnected from a network adapter, an alert does not show in the administrator portal. This issue is caused because this fault is disabled by default in Windows Server 2019. ",kivenkat@microsoft.com,,,Virtual Machines,azs-1050,,active,Common,NA,Active,Active,,Alert for network interface disconnected,,,1893367,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to release 2002.,Operator,8cbc45b7-ebb0-ea11-a812-000d3a5465d8,"In the user portal, when creating a Managed Disk snapshot, the Account type box is empty. When you select the Create button with an empty account type, the snapshot creation fails.",kivenkat@microsoft.com,,,Virtual Machines,azs-1049,,active,Common,"Select an account type from the Account type dropdown list, then create the snapshot.",Active,Active,,Create Managed Disk snapshot,,,1893366,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,8bbc45b7-ebb0-ea11-a812-000d3a5465d8,"In the user portal, the name of storage accounts is shown as Storage account - blob, file, table, queue ; however, file is not supported in Azure Stack Hub. ",kivenkat@microsoft.com,,,Virtual Machines,azs-1048,,active,Common,NA,Active,Active,,Storage account options,,,1893365,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,8abc45b7-ebb0-ea11-a812-000d3a5465d8,You cannot view permissions to your subscription using the Azure Stack Hub portals.,kivenkat@microsoft.com,,,Virtual Machines,azs-1047,,active,Common,Use PowerShell to verify permissions .,Active,Active,,Subscription permissions,,,1893364,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,1d0b8111-eab0-ea11-a812-000d3a5465d8,The documentation links in the overview page of Virtual Network gateway link to Azure-specific documentation instead of Azure Stack Hub. Use the following links for the Azure Stack Hub documentation: Gateway SKUs Highly Available Connections Configure BGP on Azure Stack Hub ExpressRoute circuits Specify custom IPsec/IKE policie,sranthar@microsoft.com,,,Network,azs-1045,,active,NA,NA,Active,Active,,Network Connection Type: Documentation,,,1893362,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to any 1906 or 1907 environment.,Operator,1b0b8111-eab0-ea11-a812-000d3a5465d8,"In the user portal, the AddConnection blade shows an option to use VNet-to-VNet . This feature is currently not supported in Azure Stack Hub. ",sranthar@microsoft.com,,,Network,azs-1044,,active,Common,NA,Active,Active,,Network Connection Type,,,1893361,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,190b8111-eab0-ea11-a812-000d3a5465d8,"When disassociating an NSG and a NIC that is not attached to a running VM, the update (PUT) operation for that object fails at the network controller layer. The NSG will be updated at the network resource provider layer, but not on the network controller, so the NSG moves to a failed state.",sranthar@microsoft.com,,,Network,azs-1043,,active,Common,"Attach the NICs associated to the NSG that needs to be removed with running VMs, and disassociate the NSG or remove all the NICs that were associated with the NSG.",Active,Active,,Cannot delete an NSG if NICs not attached to running VM,,,1893360,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,180b8111-eab0-ea11-a812-000d3a5465d8,"In the user portal, the Connections blade shows a feature called VPN Troubleshooter . This feature is currently not supported in Azure Stack Hub. ",sranthar@microsoft.com,,,Network,azs-1042,,active,Common,NA,Active,Active,,Virtual Network Gateway: VPN troubleshooter,,,1893359,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,160b8111-eab0-ea11-a812-000d3a5465d8,A new network interface cannot be added to a VM that is in a running state.,sranthar@microsoft.com,,,Network,azs-1041,,active,Common,Stop the virtual machine before adding/removing a network interface.,Active,Active,,Network interface: Primary Network Interface,,,1893358,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,140b8111-eab0-ea11-a812-000d3a5465d8,A new network interface cannot be added to a VM that is in a running state.,sranthar@microsoft.com,,,Network,azs-1040,,active,Common,Stop the virtual machine before adding/removing a network interface.,Active,Active,,Network interface: Adding/Removing Network Interface,,,1893357,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,110b8111-eab0-ea11-a812-000d3a5465d8,"When adding Availability Set VMs to the backend pool of a Load Balancer, an error message is being displayed on the portal stating Failed to save load balancer backend pool . This is a cosmetic issue on the portal, the functionality is still in place and VMs are successfully added to the backend pool interally. ",sranthar@microsoft.com,,,Network,azs-1039,,active,Common,NA,Active,Active,,Load Balancer,,,1893356,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,100b8111-eab0-ea11-a812-000d3a5465d8,The documentation links in the overview page of Virtual Network gateway link to Azure-specific documentation instead of Azure Stack Hub. Use the following links for the Azure Stack Hub documentation: Gateway SKUs Highly Available Connections Configure BGP on Azure Stack Hub ExpressRoute circuits Specify custom IPsec/IKE policie,sranthar@microsoft.com,,,Network,azs-1038,,active,NA,NA,Active,Active,,Virtual Network Gateway: Documentation,,,1893355,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,0f0b8111-eab0-ea11-a812-000d3a5465d8,"In the user portal, the Connections blade displays a feature called VPN Troubleshooter . This feature is not supported in Azure Stack Hub. ",sranthar@microsoft.com,,,Network,azs-1037,,active,Common,NA,Active,Active,,Virtual Network Gateway: VPN troubleshooter,,,1893351,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,0e0b8111-eab0-ea11-a812-000d3a5465d8,"In the user portal, while creating, and in the resource menu of Virtual Network Gateway , you will see an option to enable Active-Active configuration. This feature is currently not supported in Azure Stack Hub. ",sranthar@microsoft.com,,,Network,azs-1036,,active,Common,NA,Active,Active,,Virtual Network Gateway: Active-Active,,,1893349,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,0d0b8111-eab0-ea11-a812-000d3a5465d8,"In the user portal, the Virtual Network Gateway blade shows an option to use Alerts . This feature is currently not supported in Azure Stack Hub. ",sranthar@microsoft.com,,,Network,azs-1035,,active,Common,NA,Active,Active,,Virtual Network Gateway: Alerts,,,1893348,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,0c0b8111-eab0-ea11-a812-000d3a5465d8,"In the user portal, when you create a route table, Virtual Network gateway appears as one of the next hop type options; however, this is not supported in Azure Stack Hub. ",sranthar@microsoft.com,,,Network,azs-1034,,active,Common,NA,Active,Active,,Virtual Network Gateway: Next Hop Type,,,1893347,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,0b0b8111-eab0-ea11-a812-000d3a5465d8,"In the user portal, the Virtual Network blade shows an option to use Service Endpoints . This feature is currently not supported in Azure Stack Hub. ",sranthar@microsoft.com,,,Network,azs-1033,,active,Common,NA,Active,Active,,Service endpoints,,,1893346,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,0a0b8111-eab0-ea11-a812-000d3a5465d8,An explicit DenyAllOutbound rule cannot be created in an NSG as this will prevent all internal communication to infrastructure needed for the VM deployment to complete. ,sranthar@microsoft.com,,,Network,azs-1032,,active,Common,NA,Active,Active,,Network Security Groups,,,1893345,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,090b8111-eab0-ea11-a812-000d3a5465d8,"When adding availability set VMs to the backend pool of a load balancer, an error message is displayed on the portal stating Failed to save load balancer backend pool . This is a cosmetic issue on the portal; the functionality is still in place and VMs are successfully added to the backend pool internally. ",sranthar@microsoft.com,,,Network,azs-1031,,active,Common,NA,Active,Active,,Load balancer,,,1893344,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,070b8111-eab0-ea11-a812-000d3a5465d8,The documentation links in the overview page of Virtual Network gateway link to Azure-specific documentation instead of Azure Stack Hub.,sranthar@microsoft.com,,,Network,azs-1030,,active,Common,Use the following links for the Azure Stack Hub documentation: Gateway SKUs Highly Available Connections Configure BGP on Azure Stack Hub ExpressRoute circuits Specify custom IPsec/IKE policies,Active,Active,,Virtual Network Gateway,,,1893343,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,060b8111-eab0-ea11-a812-000d3a5465d8,The IdleTimeoutInMinutes value for a public IP that is associated to a load balancer cannot be changed. The operation puts the public IP into a failed state.,sranthar@microsoft.com,,,Network,azs-1029,,active,Common,"To bring the public IP back into a successful state, change the IdleTimeoutInMinutes value on the load balancer rule that references the public IP back to the original value (the default value is 4 minutes).",Active,Active,,Public IP,,,1893342,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,050b8111-eab0-ea11-a812-000d3a5465d8,The primary NIC of a VM cannot be changed. Deleting or detaching the primary NIC results in issues when starting up the VM. ,sranthar@microsoft.com,,,Network,azs-1028,,active,Common,NA,Active,Active,,Network interface: Primary network interface,,,1893341,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,040b8111-eab0-ea11-a812-000d3a5465d8,A new network interface cannot be added to a VM that is in a running state.,sranthar@microsoft.com,,,Network,azs-1027,,active,Common,Stop the virtual machine before adding or removing a network interface.,Active,Active,,Network interface: Adding/removing network interface,,,1893340,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,030b8111-eab0-ea11-a812-000d3a5465d8,"When disassociating an NSG and a NIC that is not attached to a running VM, the update (PUT) operation for that object fails at the network controller layer. The NSG will be updated at the network resource provider layer, but not on the network controller, so the NSG moves to a failed state. Remdiation: Attach the NICs associated to the NSG that needs to be removed with running VMs, and disassociate the NSG or remove all the NICs that were associated with the NSG. ",sranthar@microsoft.com,,,Network,azs-1026,,active,Common,NA,Active,Active,,Cannot delete an NSG if NICs not attached to running VM,,,1893339,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,010b8111-eab0-ea11-a812-000d3a5465d8,"When creating an inbound or an outbound network security rule, the Protocol option shows an ICMP option. This is currently not supported on Azure Stack Hub. This issue is fixed and will not appear in the next Azure Stack Hub release. ",sranthar@microsoft.com,,,Network,azs-1025,,active,Common,NA,Active,Active,,ICMP protocol not supported for NSG rules,,,1893338,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,000b8111-eab0-ea11-a812-000d3a5465d8,An explicit DenyAllOutbound rule cannot be created in an NSG as this will prevent all internal communication to infrastructure needed for the VM deployment to complete. ,sranthar@microsoft.com,,,Network,azs-1024,,active,Common,NA,Active,Active,,DenyAllOutbound rule cannot be created,,,1893337,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to the 1906 and 1907 releases.,Operator,ff0a8111-eab0-ea11-a812-000d3a5465d8,"The virtual machine diagnostic settings blade has a Sink tab, which asks for an Application Insight Account . This is the result of a new blade and is not yet supported in Azure Stack Hub.",kivenkat@microsoft.com,,,Virtual Machines,azs-1023,,active,Common,None.,Active,Active,,Virtual machine diagnostic settings blade,,,1893336,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to the 1906 release.,Operator,fd0a8111-eab0-ea11-a812-000d3a5465d8,There is a known issue in 1906 with custom roles and permission allocation for resource creation. You might face issues creating resources even if you have the correct permissions.,kivenkat@microsoft.com,,,Virtual Machines,azs-1022,,active,Common,Please update to build 1907 to mitigate this issue.,Active,Active,,Issues creating resources,,,1893335,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to the 1906 and 1907 releases.,Operator,fb0a8111-eab0-ea11-a812-000d3a5465d8,"The virtual machine scale set overview page shows an empty chart. Clicking on the empty chart opens a &#34;rainy cloud&#34; blade. This is the chart for scale set diagnostic information, such as CPU percentage, and is not a feature supported in the current Azure Stack Hub build.",kivenkat@microsoft.com,,,Virtual Machines,azs-1021,,active,Common,None.,Active,Active,,Rainy cloud on scale set diagnostics,,,1893334,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to the 1906 and 1907 releases.,Operator,f90a8111-eab0-ea11-a812-000d3a5465d8,"A new reset password blade appears in the scale set UI, but Azure Stack Hub does not support resetting password on a scale set yet.",kivenkat@microsoft.com,,,Virtual Machines,azs-1020,,active,Common,None.,Active,Active,,Virtual machine scale set reset password does not work,,,1893333,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,f80a8111-eab0-ea11-a812-000d3a5465d8,"The virtual machine diagnostic settings blade has a Sink tab, which asks for an Application Insight Account . This is the result of a new blade and is not yet supported in Azure Stack Hub.",kivenkat@microsoft.com,,,Virtual Machines,azs-1019,,active,Common,None.,Active,Active,,Virtual machine diagnostic settings blade,,,1893332,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,f70a8111-eab0-ea11-a812-000d3a5465d8,"The virtual machine scale set overview page shows an empty chart. Clicking on the empty chart opens a &#34;rainy cloud&#34; blade. This is the chart for scale set diagnostic information, such as CPU percentage, and is not a feature supported in the current Azure Stack Hub build.",kivenkat@microsoft.com,,,Virtual Machines,azs-1018,,active,Common,None.,Active,Active,,Rainy cloud on scale set diagnostics,,,1893331,9983ac35-72a8-ea11-a812-000d3a579c66
This issue applies to all supported releases.,Operator,f60a8111-eab0-ea11-a812-000d3a5465d8,"A new reset password blade appears in the scale set UI, but Azure Stack Hub does not support resetting password on a scale set yet.",kivenkat@microsoft.com,,,Virtual Machines,azs-1017,,active,Common,None.,Active,Active,,Virtual machine scale set reset password does not work,,,1893330,9983ac35-72a8-ea11-a812-000d3a579c66
